#,Name,Icon,JournalCategory,Unknown0
0,,0,0,False
1,新生艾奧傑亞,61412,1,True
2,第七星曆,61412,2,True
3,蒼天伊修加爾德,61412,3,True
4,龍詩戰爭終章,61412,4,True
5,龍詩戰爭尾聲,61412,5,True
6,紅蓮解放者,61412,6,True
7,解放戰爭戰後,61412,7,True
8,漆黑反叛者,61412,8,True
9,拂曉回歸,61412,9,True
10,末日序曲,61412,10,True
11,曉月之終途,61412,11,True
12,嶄新的冒險,61412,12,True
13,黃金遺產,61412,13,True
14,黃金遺產終章,61412,14,True
15,蠻神威脅,61411,15,True
16,巴哈姆特,61411,16,True
17,水晶塔,61411,17,True
18,亞歷山大,61411,18,True
19,上古眾神,61411,19,True
20,瑪哈之影,61411,20,True
21,歐米茄時空狹縫,61411,21,True
22,歐米茄時空狹縫外傳,61411,21,True
23,重返伊瓦利斯,61411,22,True
24,四聖獸奇譚,61411,23,True
25,伊甸,61411,24,True
26,寄葉異聞：暗黑天啟,61411,25,True
27,神兵武器系列,61411,26,True
28,萬魔殿,61411,27,True
29,萬魔殿外傳,61411,27,True
30,艾奧傑亞神話,61411,28,True
31,阿卡狄亞登天鬥技場,61411,29,True
32,瓦納·迪爾的回響,61411,30,True
33,,0,0,False
34,,0,0,False
35,劇情任務,61411,32,True
36,日常任務,61411,32,True
37,劇情任務,61411,34,True
38,日常任務,61411,34,True
39,劇情任務,61411,35,True
40,日常任務,61411,35,True
41,劇情任務,61411,36,True
42,日常任務,61411,36,True
43,劇情任務,61411,37,True
44,日常任務,61411,37,True
45,劇情任務,61411,38,True
46,日常任務,61411,38,True
47,劇情任務,61411,39,True
48,日常任務,61411,39,True
49,劇情任務,61411,40,True
50,日常任務,61411,40,True
51,劇情任務,61411,41,True
52,日常任務,61411,41,True
53,劇情任務,61411,42,True
54,日常任務,61411,42,True
55,劇情任務,61411,43,True
56,日常任務,61411,43,True
57,劇情任務,61411,44,True
58,日常任務,61411,44,True
59,劇情任務,61411,45,True
60,日常任務,61411,45,True
61,劇情任務,61411,46,True
62,日常任務,61411,46,True
63,劇情任務,61411,47,True
64,日常任務,61411,47,True
65,劇情任務,61411,48,True
66,日常任務,61411,48,True
67,劇情任務,61411,49,True
68,日常任務,61411,49,True
69,劇情任務,61411,50,True
70,日常任務,61411,50,True
71,各族盟友,61411,51,True
72,各族盟友：蒼天之章,61411,51,True
73,各族盟友：紅蓮之章,61411,51,True
74,各族盟友：曉月之章,61411,51,True
75,龍詩戰爭外傳,61411,52,True
76,拂曉回歸外傳,61411,52,True
77,嶄新的冒險外傳,61411,52,True
78,非著名調查員,61411,53,True
79,非著名調查員：蒼天之章,61411,53,True
80,非著名調查員：紅蓮之章,61411,53,True
