#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12
0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.2,0,0,0,0,0,0,0,0,0,0,0,0,0
1.3,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,0.144,0.31,0.07,0.12,0,0.139,3,2,0,255,255,0,1
2.1,0.341,0.318,0.075,0.198,0,0.146,4,2,0,255,255,0,2
2.2,0.52,0.34,0.065,0.145,0,0.119,5,2,0,255,255,1,3
2.3,0.66,0.33,0.075,0.169,0,0.13,6,2,0,255,255,2,4
2.4,0.769,0.44,0.085,0.516,0,0.299,7,2,0,255,255,3,4
3.0,0.108,0.248,0.139,0.417,0,0.233,8,2,0,255,255,255,2
3.1,0.904,0.248,0.139,0.417,0,0.233,9,2,0,255,255,3,255
3.2,0.282,0.377,0.087,0.232,0,0.146,10,2,0,255,255,0,4
3.3,0.732,0.377,0.087,0.232,0,0.146,11,2,0,255,255,4,1
3.4,0.578,0.527,0.071,0.242,0,0.151,16,2,1,255,255,2,3
4.0,0.108,0.248,0.139,0.417,0,0.233,12,2,0,255,255,255,2
4.1,0.904,0.248,0.139,0.417,0,0.233,13,2,0,255,255,3,255
4.2,0.282,0.377,0.087,0.232,0,0.146,14,2,0,255,255,0,4
4.3,0.732,0.377,0.087,0.232,0,0.146,15,2,0,255,255,4,1
4.4,0.585,0.532,0.071,0.275,0,0.164,16,2,1,255,255,2,3
5.0,0.123,0.27,0.089,0.29,0,0.189,17,2,0,255,255,0,1
5.1,0.315,0.28,0.129,0.265,0,0.177,18,2,0,255,255,0,2
5.2,0.488,0.28,0.099,0.36,0,0.224,19,2,0,255,255,1,3
5.3,0.666,0.31,0.101,0.35,0,0.22,20,2,0,255,255,2,4
5.4,0.823,0.43,0.149,0.23,0,0.159,21,2,0,255,255,3,4
6.0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.1,0,0,0,0,0,0,0,0,0,0,0,0,0
6.2,0,0,0,0,0,0,0,0,0,0,0,0,0
6.3,0,0,0,0,0,0,0,0,0,0,0,0,0
7.0,0.201,0.349,0.056,0.301,0,0.197,27,2,0,255,255,255,1
7.1,0.257,0.27,0.057,0.251,0,0.169,28,2,0,255,255,0,2
7.2,0.346,0.268,0.055,0.213,0,0.15,29,2,0,255,255,1,3
7.3,0.495,0.22,0.052,0.23,0,0.157,30,2,0,255,255,2,4
7.4,0.574,0.322,0.051,0.175,0,0.127,31,2,0,255,255,3,5
7.5,0.73,0.062,0.178,0.433,0,0.263,32,2,0,255,255,4,255
8.0,0.235,0.42,0.1,0.13,-0.01,0.05,33,2,0,255,255,255,1
8.1,0.375,0.375,0.155,0.195,0,0.1,34,2,0,255,255,0,2
8.2,0.668,0.38,0.075,0.225,0,0.125,35,2,0,255,255,1,3
8.3,0.83,0.25,0.175,0.725,0,0.39,36,2,0,255,255,2,255
9.0,0.196,0.128,0.217,0.475,-0.023,0.238,37,2,0,255,4,255,2
9.1,0.46,0.507,0.083,0.116,0,0.08,38,2,1,2,5,4,5
9.2,0.523,0.161,0.107,0.096,0.019,0.071,39,2,0,255,1,0,3
9.3,0.666,0.225,0.141,0.216,0.008,0.152,40,2,0,2,5,2,5
9.4,0.323,0.568,0.448,0.183,-0.132,0.132,41,2,0,0,5,0,1
9.5,0.79,0.686,0.096,0.244,0,0.136,42,2,0,3,255,1,255
10.0,0.526,0.547,0.131,0.186,-0.002,0.12,43,2,0,255,255,1,2
10.1,0.271,0.317,0.305,0.27,-0.034,0.154,44,2,0,255,0,255,3
10.2,0.685,0.451,0.225,0.216,0.02,0.124,45,2,0,3,255,0,255
10.3,0.68,0.203,0.192,0.181,0.004,0.079,46,2,0,255,2,1,255
11.0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.1,0,0,0,0,0,0,0,0,0,0,0,0,0
11.2,0,0,0,0,0,0,0,0,0,0,0,0,0
11.3,0,0,0,0,0,0,0,0,0,0,0,0,0
11.4,0,0,0,0,0,0,0,0,0,0,0,0,0
11.5,0,0,0,0,0,0,0,0,0,0,0,0,0
11.6,0,0,0,0,0,0,0,0,0,0,0,0,0
11.7,0,0,0,0,0,0,0,0,0,0,0,0,0
11.8,0,0,0,0,0,0,0,0,0,0,0,0,0
11.9,0,0,0,0,0,0,0,0,0,0,0,0,0
11.10,0,0,0,0,0,0,0,0,0,0,0,0,0
11.11,0,0,0,0,0,0,0,0,0,0,0,0,0
11.12,0,0,0,0,0,0,0,0,0,0,0,0,0
11.13,0,0,0,0,0,0,0,0,0,0,0,0,0
12.0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.1,0,0,0,0,0,0,0,0,0,0,0,0,0
12.2,0,0,0,0,0,0,0,0,0,0,0,0,0
12.3,0,0,0,0,0,0,0,0,0,0,0,0,0
12.4,0,0,0,0,0,0,0,0,0,0,0,0,0
13.0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.1,0,0,0,0,0,0,0,0,0,0,0,0,0
13.2,0,0,0,0,0,0,0,0,0,0,0,0,0
13.3,0,0,0,0,0,0,0,0,0,0,0,0,0
13.4,0,0,0,0,0,0,0,0,0,0,0,0,0
13.5,0,0,0,0,0,0,0,0,0,0,0,0,0
